Neuron_type,Modality,Neurotransmitter,Ciliated,Pharyngeal,Nb_Processes,Process_Position,Branching,Sexual_dimorphism,Mechanosensation,Gentle_Touch,Harsh_Touch,Nociception,Proprioception,Chemosensation,Thermosensation,Photosensation,Electrosensation,Texture,Oxygen_sensory,CO2_sensory,Odorsensation,Pheromone_sensory,Magnetic_Field,Humidity,Osmosensation,Dauer_Entry
ADA,interneuron,glu,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADE,sensory,dopamine,Yes,no,2,,1,none,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADF,sensory,"ACh, 5HT",Yes,no,2,,0,none,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ADL,sensory,glu,Yes,no,2,,1,none,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
AFD,sensory,glu,Yes,no,2,,0,none,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
AIA,interneuron,ACh,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIB,interneuron,glu,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM,interneuron,"glu,5HT",No,no,1,,0,sexually_dimorphic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIN,interneuron,ACh,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIY,interneuron,ACh,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZ,interneuron,glu,No,no,1,,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALA,"sensory,interneuron",GABA,No,no,3,CA,0,none,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM,sensory,glu,No,no,2,DS,2,none,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALN,sensory,ACh,No,no,2,DS,0,none,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AQR,sensory,glu,Yes,no,2,,0,none,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AS,motor,ACh,No,no,2,DNC,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEL,sensory,glu,Yes,no,2,,0,none,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ASER,sensory,glu,Yes,no,2,,0,none,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ASG,sensory,"glu,5HT",Yes,no,2,,0,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASH,sensory,glu,Yes,no,2,,0,none,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASI,sensory,unknown,Yes,no,2,,0,none,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ASJ,sensory,ACh,Yes,no,2,,0,none,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
ASK,sensory,glu,Yes,no,2,,0,none,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
