selected,gene_id,gene_name
1,WBGene00002978,lev-11
1,WBGene00004490,rps-21
1,WBGene00003424,msp-3
1,WBGene00003465,msp-78
1,WBGene00004917,snr-4
1,WBGene00002017,hsp-16.11
1,WBGene00020999,W03F9.1
1,WBGene00022765,ZK546.14
1,WBGene00018846,eef-1B.1
1,WBGene00012768,eef-1B.2
1,WBGene00003962,pdi-1
1,WBGene00001067,dpy-5
1,WBGene00011561,ttr-15
1,WBGene00004930,sod-1
1,WBGene00004497,rps-28
1,WBGene00022722,ZK370.8
1,WBGene00004391,rnr-1
1,WBGene00002891,let-767
1,WBGene00019947,htz-1
1,WBGene00002271,lec-8
1,WBGene00004919,snr-6
1,WBGene00006725,ubl-1
1,WBGene00003053,lmp-1
1,WBGene00002258,lbp-6
1,WBGene00007880,C33A12.1
1,WBGene00001942,his-68
1,WBGene00002045,icd-1
1,WBGene00020549,nmt-1
1,WBGene00003495,mup-2
1,WBGene00000377,cct-1
1,WBGene00001898,his-24
1,WBGene00019061,F58F12.1
1,WBGene00004454,rpl-41
1,WBGene00018218,F40A3.3
1,WBGene00019478,cri-2
1,WBGene00016995,D1005.1
1,WBGene00001793,gsy-1
1,WBGene00020557,T19B4.3
1,WBGene00001336,qars-1
1,WBGene00003415,mars-1
1,WBGene00000140,anc-1
1,WBGene00004187,prp-8
1,WBGene00007350,C05G5.4
1,WBGene00015391,sdha-1
1,WBGene00009082,F23B12.5
1,WBGene00003950,pbs-4
1,WBGene00000182,arf-1.2
1,WBGene00002060,ife-2
1,WBGene00012896,Y46G5A.4
1,WBGene00000379,cct-4
1,WBGene00012964,Y48A6B.3
1,WBGene00004258,pyc-1
1,WBGene00000786,cpr-6
1,WBGene00004440,rpl-26
1,WBGene00020423,T10F2.4
1,WBGene00000833,cts-1
1,WBGene00000550,clu-1
1,WBGene00004503,rpt-3
1,WBGene00001747,gsp-1
1,WBGene00011938,alh-13
1,WBGene00020216,trap-2
1,WBGene00022792,ZK686.2
1,WBGene00001209,egl-45
1,WBGene00001753,gst-5
1,WBGene00011110,prdx-3
1,WBGene00022599,ZC395.10
1,WBGene00010303,cri-3
1,WBGene00003515,myo-3
1,WBGene00018362,F42G9.1
1,WBGene00007718,otub-1
1,WBGene00014165,puf-12
1,WBGene00004015,phb-2
1,WBGene00019326,K02F3.2
1,WBGene00001498,fars-3
1,WBGene00000040,aco-1
1,WBGene00013324,Y57G11C.34
1,WBGene00001233,eif-3.K
1,WBGene00001232,eif-3.I
1,WBGene00000830,ctl-1
1,WBGene00022851,ZK1127.4
1,WBGene00003834,nxf-1
1,WBGene00001564,gei-7
1,WBGene00001234,eif-6
1,WBGene00020902,jmjc-1
1,WBGene00016981,C56G2.7
1,WBGene00001937,his-63
1,WBGene00018967,F56D2.6
1,WBGene00006497,tag-151
1,WBGene00022493,Y119D3B.16
1,WBGene00022678,sar-1
1,WBGene00009246,F29C12.4
1,WBGene00002074,ima-3
1,WBGene00001856,hil-5
1,WBGene00012276,his-74
1,WBGene00004442,rpl-28
1,WBGene00015487,C05D11.10
1,WBGene00001230,eif-3.G
1,WBGene00001843,hgo-1
1,WBGene00001784,gst-36
1,WBGene00000883,cyn-7
1,WBGene00012676,pro-3
1,WBGene00000877,cyn-1
1,WBGene00006724,ubh-4
1,WBGene00007646,nkb-1
1,WBGene00006856,usp-14
1,WBGene00010579,K05C4.2
1,WBGene00010988,R03D7.1
1,WBGene00018145,F37C4.5
1,WBGene00009711,F44G4.1
1,WBGene00002264,lec-1
1,WBGene00008405,ttll-12
1,WBGene00011634,T09A5.5
1,WBGene00001834,hda-1
1,WBGene00007965,C36A4.4
1,WBGene00003372,mlc-4
1,WBGene00002073,ima-2
1,WBGene00003014,lin-28
1,WBGene00016140,rpb-2
1,WBGene00021564,Y45G12B.3
1,WBGene00012375,mecr-1
1,WBGene00004788,sft-4
1,WBGene00012031,T25G3.4
1,WBGene00018674,F52C9.3
1,WBGene00001386,far-2
1,WBGene00013765,Y113G7B.16
1,WBGene00010624,K07A12.7
1,WBGene00001840,hel-1
1,WBGene00003963,pdi-2
1,WBGene00004481,rps-12
1,WBGene00004450,rpl-36
1,WBGene00009122,tct-1
1,WBGene00001385,far-1
1,WBGene00011272,R53.2
1,WBGene00003989,pfn-1
1,WBGene00022042,Y65B4BR.5
1,WBGene00006919,vha-10
1,WBGene00016493,C37A2.7
1,WBGene00006930,vit-6
1,WBGene00006351,sur-5
1,WBGene00004700,rsp-3
1,WBGene00018612,F48E8.6
1,WBGene00017163,F01F1.9
1,WBGene00008514,F02A9.4
1,WBGene00007108,gspd-1
1,WBGene00004436,rpl-24.1
1,WBGene00002064,iff-1
1,WBGene00003371,mlc-3
1,WBGene00000102,akt-1
